1463,2,3
1623,2,4
1193,2,4
903,2,7
3744,2,8
1943,2,9
1354,2,3
2834,2,4
1073,2,4
1904,2,5
1223,2,6
662,24,21
1045,29,21
819,33,7
233,34,6
1044,39,8
874,43,14
735,47,14
204,48,14
615,51,16
163,2,3
51,52,14
176,53,8
4169,2,6
2474,2,11
1714,2,5
1143,2,6
2614,2,7
2804,2,4
1933,2,10
2725,2,6
1703,2,4
4586,2,3
8130,2,3
2023,2,8
1653,2,5
1032,2,5
3916,2,8
2334,2,3
822,2,7
1343,2,11
1425,2,7
2243,1,10
1514,2,15
834,2,15
873,2,10
1695,2,7
3074,2,4
2184,2,5
1463,2,7
913,2,7
743,24,15
164,2,3
1073,2,5
1963,2,3
1354,2,14
1103,2,14
904,2,7
992,2,4
1693,2,6
833,2,5
864,2,6
833,2,1
2374,2,15
823,2,3
3285,2,5
992,2,4
1063,2,13
1154,2,9
2234,2,5
1203,2,3
1303,2,5
1293,2,3
1073,2,3
1313,2,3
1063,2,4
1183,2,4
1653,2,3
1293,1,14
403,2,6
823,2,19
7497,2,15
1074,2,9
823,2,12
834,2,15
832,2,12
835,2,17
904,2,14
834,2,8
822,2,13
834,2,9
823,2,13
884,2,16
823,2,12
834,2,15
824,2,10
824,2,16
924,2,8
822,2,15
874,2,12
824,2,9
823,2,15
823,2,9
823,2,15
824,2,12
824,2,15
1024,2,12
823,2,9
822,2,16
1705,2,15
824,2,8
843,2,15
833,2,11
824,2,15
824,2,3
1673,2,14
834,2,11
824,2,15
953,2,8
824,2,16
823,2,4
834,2,13
833,2,8
823,2,12
883,2,15
984,2,10
824,2,14
823,2,17
815,2,11
833,2,16
814,2,13
864,2,10
824,2,15
884,2,12
823,2,8
833,2,4
823,2,16
843,2,12
1735,2,14
894,2,11
823,2,15
854,2,12
834,2,15
824,2,6
822,2,9
823,2,15
924,2,12
854,2,15
824,2,11
823,2,14
1645,2,1
832,2,13
834,2,5
863,2,1
823,2,10
823,2,7
1714,2,5
832,2,1
903,2,13
186,53,16
405,52,7
243,2,7
241,51,3
592,2,14
813,2,9
19,48,18
834,2,16
813,2,7
924,2,11
873,2,6
1694,2,13
1654,2,1
873,2,5
1642,2,20
1675,2,3
833,2,14
814,2,1
1652,2,4
834,2,1
833,2,6
822,2,13
824,2,7
863,2,10
824,2,6
832,2,11
1774,2,1
883,2,6
863,2,2
833,2,8
863,2,11
914,2,9
1413,2,12
3254,2,5
2985,2,3
1153,2,10
2295,2,6
1143,2,8
822,2,15
3316,2,4
1403,2,3
2133,2,10
984,2,8
993,2,4
1142,2,15
815,2,18
1714,2,20
824,2,17
834,2,14
823,2,17
924,2,14
824,2,6
1932,2,3
874,2,4
1423,2,6
1493,2,9
843,2,4
1383,2,4
1183,2,5
1062,2,8
1624,2,6
1654,2,13
912,2,8
2735,2,11
2045,2,7
1313,2,5
1293,2,7
1073,2,11
994,2,3
1534,2,9
822,2,18
823,2,1
963,2,3
1934,2,13
823,2,20
56850,1,22
1735,8,20
4315,29,3
3458,43,9
2245,51,14
3187,1,13
1824,1,18
2095,8,20
3406,24,20
604,27,18
376,29,11
820,33,20
216,34,17
1644,42,19
165,43,20
885,47,19
154,48,12
265,49,21
404,51,14
265,52,17
214,53,14
11025,48,18
245,51,14
104,52,10
625,48,7
123,51,20
1116,43,11
1875,47,13
435,48,4
1485,51,12
554,52,10
915678,19,3
2235,24,3
1044,24,16
2266,29,17
738,33,18
1065,33,14
4427,43,18
1275,47,14
335,48,14
1505,51,16
495,52,8
594,53,19
66655,48,5
204,49,3
283,52,11
135,53,12
434,48,5
714,52,8
110352,53,18
